1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51
t[s];thtr[deg];psir[deg];phir[deg];CA[-];Clp[1/rad];Cld[1/rad];Cmq[1/rad];Cnr[1/rad];CNa[1/rad];CYb[1/rad];emp[N];Ixx[kgm2];Iyy[kgm2];Izz[kgm2];Ixy[kgm2];Ixz[kgm2];Iyz[kgm2];Ixxp[kgm2];Iyyp[kgm2];Izzp[kgm2];Ixyp[kgm2];Ixzp[kgm2];Iyzp[kgm2];massa[kg];pdin[Pa];U[m/s];Xcg[m];Ycg[m];Zcg[m];Xcp[m];Ycp[m];Zcp[m];mp[kg/s];ax_net[m/s2];ay_net[m/s2];az_net[m/s2];altitude[km];mach[-];Rec[km];long[deg];gcLat[deg];gdLat[deg];gravXV[m/s2];gravYV[m/s2];gravZV[m/s2];gravXB[m/s2];gravYB[m/s2];gravZB[m/s2];AoA[deg];AoAtotal[deg] 
0.00312;-0.009964869;-0.011855286;0;0.32276;2.6302;1.3854;345.0219;345.0219;5.50555;5.50555;0;3879.7926;76704.532;76704.532;0;0;0;-12;-505.92;-505.92;0;0;0;15642.955;0;0;-8.0359719;0;0;-8.3206;0;0;190.7;0;0;0;0.050000774;0;6378.1524;-44.367775;-2.3005075;-2.3159948;0.001276467;0;9.8140741;-9.8140741;-0.00097783;0.000820497;0;0
0.00338;-0.009965641;-0.011854638;0;0.32276;2.6302;1.3854;345.0219;345.0219;5.50555;5.50555;1884.5013;3879.7894;76704.4;76704.4;0;0;0;-12;-505.92;-505.92;0;0;0;15642.905;0;0;-8.0359696;0;0;-8.3206;0;0;190.7;0.12046542;0;0;0.050000774;0;6378.1524;-44.367775;-2.3005075;-2.3159948;0.001276467;0;9.8140741;-9.8140741;-0.00097783;0.000820497;0;0
0.00364;-0.009966413;-0.011853991;0;0.32276;2.6302;1.3854;345.0219;345.0219;5.50555;5.50555;4210.9467;3879.7863;76704.268;76704.268;0;0;0;-12;-505.92;-505.92;0;0;0;15642.856;0;0;-8.0359672;0;0;-8.3206;0;0;190.7;0.2691819;0;0;0.050000774;0;6378.1524;-44.367775;-2.3005075;-2.3159948;0.001276467;0;9.8140741;-9.8140741;-0.00097783;0.000820497;0;0
0.0039;-0.009967313;-0.011853235;0;0.32276;2.6302;1.3854;345.0219;345.0219;5.50555;5.50555;6537.392;3879.7832;76704.137;76704.137;0;0;0;-12;-505.92;-505.92;0;0;0;15642.806;0;0;-8.0359649;0;0;-8.3206;0;0;190.7;0.41789849;0;0;0.050000774;0;6378.1524;-44.367775;-2.3005075;-2.3159948;0.001276467;0;9.8140741;-9.8140741;-0.00097783;0.000820497;0;0
0.00416;-0.009968085;-0.011852587;0;0.32276;2.6302;1.3854;345.0219;345.0219;5.50555;5.50555;8798.6927;3879.7801;76704.005;76704.005;0;0;0;-12;-505.92;-505.92;0;0;0;15642.757;0;0;-8.0359626;0;0;-8.3206;0;0;190.7;0.56245087;0;0;0.050000774;0;6378.1524;-44.367775;-2.3005075;-2.3159948;0.001276467;0;9.8140741;-9.8140741;-0.00097783;0.000820497;0;0
0.00442;-0.009968986;-0.011851831;0;0.32276;2.6302;1.3854;345.0219;345.0219;5.50555;5.50555;11035.993;3879.777;76703.874;76703.874;0;0;0;-12;-505.92;-505.92;0;0;0;15642.707;0;0;-8.0359602;0;0;-8.3206;0;0;190.7;0.70546914;0;0;0.050000774;0;6378.1524;-44.367775;-2.3005075;-2.3159948;0.001276467;0;9.8140741;-9.8140741;-0.00097783;0.000820497;0;0
0.00468;-0.009969758;-0.011851183;0;0.32276;2.6302;1.3854;345.0219;345.0219;5.50555;5.50555;13273.293;3879.7738;76703.742;76703.742;0;0;0;-12;-505.92;-505.92;0;0;0;15642.658;0;0;-8.0359579;0;0;-8.3206;0;0;190.7;0.84848753;0;0;0.050000774;0;6378.1524;-44.367775;-2.3005075;-2.3159948;0.001276467;0;9.8140741;-9.8140741;-0.00097783;0.000820497;0;0
0.00494;-0.009970659;-0.011850428;0;0.32276;2.6302;1.3854;345.0219;345.0219;5.50555;5.50555;15450.274;3879.7707;76703.611;76703.611;0;0;0;-12;-505.92;-505.92;0;0;0;15642.608;0;0;-8.0359555;0;0;-8.3206;0;0;190.7;0.98765019;0;0;0.050000774;0;6378.1524;-44.367775;-2.3005075;-2.3159948;0.001276467;0;9.8140741;-9.8140741;-0.00097783;0.000820497;0;0
0.0052;-0.009971431;-0.01184978;0;0.32276;2.6302;1.3854;345.0219;345.0219;5.50555;5.50555;17605.032;3879.7676;76703.479;76703.479;0;0;0;-12;-505.92;-505.92;0;0;0;15642.558;0;0;-8.0359532;0;0;-8.3206;0;0;190.7;1.1253924;0;0;0.050000774;0;6378.1524;-44.367775;-2.3005075;-2.3159948;0.001276467;0;9.8140741;-9.8140741;-0.00097783;0.000820497;0;0
0.00546;-0.009972331;-0.011849024;0;0.32276;2.6302;1.3854;345.0219;345.0219;5.50555;5.50555;19759.79;3879.7645;76703.348;76703.348;0;0;0;-12;-505.92;-505.92;0;0;0;15642.509;0;0;-8.0359509;0;0;-8.3206;0;0;190.7;1.2631347;0;0;0.050000774;0;6378.1524;-44.367775;-2.3005075;-2.3159948;0.001276467;0;9.8140741;-9.8140741;-0.00097783;0.000820497;0;0
0.00572;-0.009973103;-0.011848376;0;0.32276;2.6302;1.3854;345.0219;345.0219;5.50555;5.50555;21867.362;3879.7614;76703.216;76703.216;0;0;0;-12;-505.92;-505.92;0;0;0;15642.459;0;0;-8.0359485;0;0;-8.3206;0;0;190.7;1.3978609;0;0;0.050000774;0;6378.1524;-44.367775;-2.3005075;-2.3159948;0.001276467;0;9.8140741;-9.8140741;-0.00097783;0.000820497;0;0
0.00598;-0.009974004;-0.011847621;0;0.32276;2.6302;1.3854;345.0219;345.0219;5.50555;5.50555;23945.443;3879.7582;76703.085;76703.085;0;0;0;-12;-505.92;-505.92;0;0;0;15642.41;0;0;-8.0359462;0;0;-8.3206;0;0;190.7;1.530702;0;0;0.050000774;0;6378.1524;-44.367775;-2.3005075;-2.3159948;0.001276467;0;9.8140741;-9.8140741;-0.00097783;0.000820497;0;0
0.00624;-0.009974776;-0.011846973;0;0.32276;2.6302;1.3854;345.0219;345.0219;5.50555;5.50555;26023.524;3879.7551;76702.953;76702.953;0;0;0;-12;-505.92;-505.92;0;0;0;15642.36;0;0;-8.0359438;0;0;-8.3206;0;0;190.7;1.6635432;0;0;0.050000774;0;6378.1524;-44.367775;-2.3005075;-2.3159948;0.001276467;0;9.8140741;-9.8140741;-0.00097783;0.000820497;0;0
0.0065;-0.009975677;-0.011846217;0;0.32276;2.6302;1.3854;345.0219;345.0219;5.50555;5.50555;28092.319;3879.752;76702.822;76702.822;0;0;0;-12;-505.92;-505.92;0;0;0;15642.31;0;0;-8.0359415;0;0;-8.3206;0;0;190.7;1.795791;0;0;0.050000774;0;6378.1524;-44.367775;-2.3005075;-2.3159948;0.001276467;0;9.8140741;-9.8140741;-0.00097783;0.000820497;0;0
0.00676;-0.009976449;-0.011845569;0;0.32276;2.6302;1.3854;345.0219;345.0219;5.50555;5.50555;30146.258;3879.7489;76702.69;76702.69;0;0;0;-12;-505.92;-505.92;0;0;0;15642.261;0;0;-8.0359392;0;0;-8.3206;0;0;190.7;1.9270893;0;0;0.050000774;0;6378.1524;-44.367775;-2.3005075;-2.3159948;0.001276467;0;9.8140741;-9.8140741;-0.00097783;0.000820497;0;0
0.00702;-0.009977221;-0.011844922;0;0.32276;2.6302;1.3854;345.0219;345.0219;5.50555;5.50555;32200.197;3879.7458;76702.558;76702.558;0;0;0;-12;-505.92;-505.92;0;0;0;15642.211;0;0;-8.0359368;0;0;-8.3206;0;0;190.7;2.0583877;0;0;0.050000774;0;6378.1524;-44.367775;-2.3005075;-2.3159948;0.001276467;0;9.8140741;-9.8140741;-0.00097783;0.000820497;0;0
0.00728;-0.009978121;-0.011844166;0;0.32276;2.6302;1.3854;345.0219;345.0219;5.50555;5.50555;34243.518;3879.7426;76702.427;76702.427;0;0;0;-12;-505.92;-505.92;0;0;0;15642.162;0;0;-8.0359345;0;0;-8.3206;0;0;190.7;2.1890076;0;0;0.050000774;0;6378.1524;-44.367775;-2.3005075;-2.3159948;0.001276467;0;9.8140741;-9.8140741;-0.00097783;0.000820497;0;0
0.00754;-0.009978893;-0.011843518;0;0.32276;2.6302;1.3854;345.0219;345.0219;5.50555;5.50555;36205.437;3879.7395;76702.295;76702.295;0;0;0;-12;-505.92;-505.92;0;0;0;15642.112;0;0;-8.0359321;0;0;-8.3206;0;0;190.7;2.314424;0;0;0.050000774;0;6378.1524;-44.367775;-2.3005075;-2.3159948;0.001276467;0;9.8140741;-9.8140741;-0.00097783;0.000820497;0;0
0.0078;-0.009979794;-0.011842762;0;0.32276;2.6302;1.3854;345.0219;345.0219;5.50555;5.50555;38167.356;3879.7364;76702.164;76702.164;0;0;0;-12;-505.92;-505.92;0;0;0;15642.063;0;0;-8.0359298;0;0;-8.3206;0;0;190.7;2.4398406;0;0;0.050000774;0;6378.1524;-44.367775;-2.3005075;-2.3159948;0.001276467;0;9.8140741;-9.8140741;-0.00097783;0.000820497;0;0
