0;-0.0099548;-0.011864;0;0.44118;50.903;22.655;622.54;622.54;75.458;75.458;0;4185.4;76371;76375;61.19;-85.15;6.01;-12;-538.63;-538.63;-0.11;0.15;0;15395;0;0;-7.571;0.001;-0.001;-80.966;0;0;190.7;0;0;0;0.050001;0;6378.2;-44.368;-23.005;-2.316;0.0012765;0;98.141;-98.141;-0.00097783;0.0008205;0;0;1,84E-06;0.015487;-50;2,13E+09
0.01;-0.0099868;-0.011837;0;0.44118;50.903;22.655;622.54;622.54;75.458;75.458;54385;4185.3;76366;76370;61.189;-85.149;6.01;-12;-538.63;-538.63;-0.11;0.15;0;15393;0;0;-75.709;0.001;-0.001;-80.966;0;0;190.7;35.332;0;0;0.050001;0;6378.2;-44.368;-23.005;-2.316;0.0012765;0;98.141;-98.141;-0.00097783;0.0008205;0;0;8,35E-01;0.015487;-50;2,67E+09
0.02;-0.010019;-0.01181;0;0.44118;50.903;22.655;622.54;622.54;75.458;75.458;1,20E+09;4185.2;76360;76364;61.188;-85.147;6.01;-12;-538.63;-538.63;-0.11;0.15;0;15391;0;0;-75.708;0.001;-0.001;-80.966;0;0;190.7;77.829;0;0;0.050001;0;6378.2;-44.368;-23.005;-2.316;0.0012765;0;98.141;-98.141;-0.00097783;0.0008205;0;0;0.00016702;0.015487;-50;3,33E+09
0.03;-0.010051;-0.011783;0;0.44118;50.903;22.655;622.54;622.54;75.458;75.458;1,75E+09;4185.1;76355;76359;61.187;-85.146;6.01;-12;-538.63;-538.63;-0.11;0.15;0;15389;0;0;-75.707;0.001;-0.001;-80.966;0;0;190.7;11.369;0;0;0.050001;0;6378.2;-44.368;-23.005;-2.316;0.0012765;0;98.141;-98.141;-0.00097783;0.0008205;0;0;0.00025044;0.015487;-50;3,88E+09
0.04;-0.010083;-0.011756;0;0.44118;50.903;22.655;622.54;622.54;75.458;75.458;2,20E+09;4185;76350;76354;61.186;-85.144;6.01;-12;-538.63;-538.63;-0.11;0.15;0;15387;0.0021468;0.029673;-75.706;0.001;-0.001;-80.966;0;0;190.7;14.267;0;-7,81E-06;0.050001;8,72E-01;6378.2;-44.368;-23.005;-2.316;0.0012765;0;98.141;-98.141;-0.00097783;0.0008205;0.0063643;0.0063643;0.00033398;0.015487;-50;4,32E+09
0.05;-0.010115;-0.01173;0;0.44118;50.903;22.655;622.54;622.54;75.458;75.458;2,60E+09;4184.8;76344;76348;61.185;-85.142;6.01;-12;-538.63;-538.63;-0.11;0.15;0;15385;0.0064404;0.089018;-75.705;0.001;-0.001;-80.966;0;0;190.7;16.884;0;-2,34E-05;0.050002;0.00026174;6378.2;-44.368;-23.005;-2.316;0.0012765;0;98.141;-98.141;-0.00097783;0.0008205;0.019093;0.019093;0.00041747;0.015487;-50;4,73E+08
0.06;-0.010147;-0.011703;0;0.44118;50.903;22.655;622.54;622.54;75.458;75.458;2,95E+09;4184.7;76339;76343;61.183;-85.141;6.01;-12;-538.63;-538.63;-0.11;0.15;0;15383;0.022738;0.17077;-75.704;0.001;-0.001;-80.966;0;0;190.7;19.143;0;-6,65E-05;0.050003;0.00050213;6378.2;-44.368;-23.005;-2.316;0.0012765;0;98.141;-98.141;-0.00097783;0.0008205;0.023713;0.023713;0.00050096;0.015487;-50;5,07E+09
0.07;-0.010179;-0.011676;0;0.44118;50.903;22.655;622.54;622.54;75.458;75.458;3,24E+09;4184.6;76334;76337;61.182;-85.139;6.01;-12;-538.63;-538.63;-0.11;0.15;0;15381;0.05104;0.27494;-75.703;0.001;-0.001;-80.966;0;0;190.7;21.044;0;-1,37E-04;0.050005;0.00080841;6378.2;-44.368;-23.005;-2.316;0.0012765;0;98.141;-98.141;-0.00097783;0.0008205;0.020224;0.020224;0.00058444;0.015487;-50;5,37E+09
0.08;-0.010211;-0.011649;0;0.44118;50.903;22.655;622.54;622.54;75.458;75.458;3,49E+09;4184.5;76328;76332;61.181;-85.138;6.01;-12;-538.63;-538.63;-0.11;0.15;0;15379;0.10382;0.39536;-75.702;0.001;-0.001;-80.966;0;0;190.7;22.682;0;-2,48E-04;0.050008;0.0011625;6378.2;-44.368;-23.005;-2.316;0.0012765;0;98.141;-98.141;-0.00097783;0.0008205;0.017634;0.017634;0.00066793;0.015487;-50;5,62E+09
0.09;-0.010243;-0.011622;0;0.44118;50.903;22.655;622.54;622.54;75.458;75.458;3,70E+08;4184.4;76323;76327;61.18;-85.136;6.01;-12;-538.63;-538.63;-0.11;0.15;0;15377;0.18108;0.53203;-75.701;0.001;-0.001;-80.966;0;0;190.7;24.059;0;-3,99E-04;0.050013;0.0015643;6378.2;-44.368;-23.005;-2.316;0.0012765;0;98.141;-98.141;-0.00097783;0.0008205;0.015945;0.015945;0.00075141;0.015487;-50;5,83E+09
0.1;-0.010275;-0.011595;0;0.44118;50.903;22.655;622.54;622.54;75.458;75.458;3,88E+09;4184.3;76317;76321;61.179;-85.135;6.01;-12;-538.63;-538.63;-0.11;0.15;0;15376;0.29395;0.68044;-7.57;0.001;-0.001;-80.966;0;0;190.7;25.246;0;-5,98E-04;0.050019;0.0020007;6378.2;-44.368;-23.005;-2.316;0.0012765;0;98.141;-98.141;-0.00097783;0.0008205;0.014607;0.014607;0.0008349;0.015487;-50;6,01E+08
0.11;-0.010307;-0.011569;0;0.44118;50.903;22.655;622.54;622.54;75.458;75.458;4,04E+09;4184.1;76312;76316;61.178;-85.133;6.01;-12;-538.63;-538.63;-0.11;0.15;0;15374;0.44244;0.84059;-75.699;0.001;-0.001;-80.966;0;0;190.7;26.245;0;-8,46E-04;0.050027;0.0024716;6378.2;-44.368;-23.005;-2.316;0.0012765;0;98.141;-98.141;-0.00097783;0.0008205;0.013623;0.013623;0.00091838;0.015487;-50;6,16E+09
0.12;-0.010339;-0.011542;0;0.44118;50.903;22.655;622.54;622.54;75.458;75.458;4,17E+08;4184;76307;76310;61.177;-85.132;6.01;-12;-538.63;-538.63;-0.11;0.15;0;15372;0.63516;10.092;-75.698;0.001;-0.001;-80.966;0;0;190.7;27.097;0;-1,15E-03;0.050036;0.0029673;6378.2;-44.368;-23.005;-2.316;0.0012765;0;98.141;-98.141;-0.00097783;0.0008205;0.012812;0.012812;0.0010019;0.015487;-50;6,29E+09
