0.21,0,0,0.0026179,-0.0027003,7.0058e-08,-0.0031126,17.887,0.11182,0.055908,0.16772,-0.0026179,0.0027003,-0.00018502,0.00019123,-0.021385,0.021807,-0.0038863,0.0039669,-5.7e-05,0.0055531,-0.0034807,0.0035721
0.22,0,0,0.0028387,-0.0029252,8.1851e-08,-0.0031459,17.98,0.11123,0.055617,0.16685,-0.0028387,0.0029252,-0.0002112,0.00021823,-0.022086,0.022491,-0.0040068,0.0040846,-5.5038e-05,0.0057214,-0.0035991,0.003687
0.23,0,0,0.0030664,-0.0031568,9.4857e-08,-0.0031819,18.064,0.11072,0.05536,0.16608,-0.0030664,0.0031568,-0.00023959,0.00024748,-0.022766,0.023155,-0.0041266,0.0042019,-5.3194e-05,0.0058891,-0.0037182,0.0038029
0.24,0,0,0.0033007,-0.0033948,1.0915e-07,-0.0032208,18.142,0.11024,0.055122,0.16537,-0.0033007,0.0033948,-0.00027025,0.00027905,-0.023428,0.023801,-0.0042453,0.004318,-5.1446e-05,0.0060552,-0.0038378,0.0039196
0.25,0,0,0.0035414,-0.0036391,1.2479e-07,-0.0032624,18.193,0.10993,0.054967,0.1649,-0.0035414,0.0036391,-0.00030326,0.000313,-0.02407,0.024429,-0.0043618,0.0044322,-4.9775e-05,0.0062183,-0.0039577,0.0040367
0.26,0,0,0.0037883,-0.0038894,1.4185e-07,-0.0033069,18.231,0.1097,0.054851,0.16455,-0.0037883,0.0038894,-0.00033867,0.00034939,-0.024696,0.025039,-0.0044818,0.00455,-4.8236e-05,0.0063864,-0.0040776,0.0041539
0.27,0,0,0.0040413,-0.0041458,1.6041e-07,-0.0033541,18.27,0.10947,0.054734,0.1642,-0.0040413,0.0041458,-0.00037655,0.00038828,-0.025304,0.025633,-0.0046022,0.0046683,-4.6781e-05,0.0065553,-0.0041967,0.0042704
0.28,0,0,0.0043003,-0.0044079,1.8053e-07,-0.0034041,18.309,0.10924,0.054619,0.16386,-0.0043003,0.0044079,-0.00041697,0.00042974,-0.025896,0.026211,-0.0047202,0.0047843,-4.5374e-05,0.0067207,-0.0043151,0.0043865
0.29,0,0,0.004565,-0.0046756,2.0229e-07,-0.003457,18.336,0.10908,0.054538,0.16361,-0.004565,0.0046756,-0.00045997,0.00047382,-0.026472,0.026774,-0.0048357,0.004898,-4.4012e-05,0.0068828,-0.004434,0.0045031
0.3,0,0,0.0048354,-0.0049488,2.2574e-07,-0.0035126,18.359,0.10894,0.05447,0.16341,-0.0048354,0.0049488,-0.00050562,0.00052058,-0.027033,0.027322,-0.0049522,0.0050127,-4.2721e-05,0.0070463,-0.0045532,0.0046202
0.31,0,0,0.0051112,-0.0052274,2.5095e-07,-0.0035711,18.37,0.10888,0.054438,0.16331,-0.0051112,0.0052274,-0.00055397,0.00057006,-0.02758,0.027856,-0.0050679,0.0051265,-4.1479e-05,0.0072085,-0.0046716,0.0047366
0.32,0,0,0.0053923,-0.0055112,2.78e-07,-0.0036323,18.376,0.10883,0.054417,0.16325,-0.0053923,0.0055112,-0.00060509,0.00062234,-0.028113,0.028377,-0.0051851,0.0052421,-4.0302e-05,0.0073732,-0.004789,0.004852
0.33,0,0,0.0056786,-0.0058,3.0695e-07,-0.0036962,18.383,0.10879,0.054397,0.16319,-0.0056786,0.0058,-0.00065901,0.00067745,-0.028633,0.028885,-0.005302,0.0053573,-3.9168e-05,0.0075373,-0.0049055,0.0049667
0.34,0,0,0.00597,-0.0060938,3.3786e-07,-0.0037629,18.39,0.10875,0.054377,0.16313,-0.00597,0.0060938,-0.00071579,0.00073545,-0.029141,0.029382,-0.0054174,0.0054712,-3.8067e-05,0.0076994,-0.0050218,0.0050811
0.35,0,0,0.0062664,-0.0063925,3.7081e-07,-0.0038324,18.393,0.10874,0.054368,0.1631,-0.0062664,0.0063925,-0.00077549,0.00079639,-0.029638,0.029867,-0.0055314,0.0055838,-3.6999e-05,0.0078596,-0.0051382,0.0051959
0.36,0,0,0.0065676,-0.0066959,4.0584e-07,-0.0039046,18.395,0.10873,0.054363,0.16309,-0.0065676,0.0066959,-0.00083816,0.00086031,-0.030123,0.030341,-0.0056455,0.0056964,-3.5968e-05,0.0080199,-0.0052546,0.0053106
0.37,0,0,0.0068736,-0.007004,4.4303e-07,-0.0039796,18.396,0.10872,0.054359,0.16308,-0.0068736,0.007004,-0.00090384,0.00092727,-0.030597,0.030805,-0.0057587,0.0058082,-3.4969e-05,0.008179,-0.0053704,0.0054248
0.38,0,0,0.0071842,-0.0073166,4.8245e-07,-0.0040573,18.398,0.10871,0.054355,0.16307,-0.0071842,0.0073166,-0.00097257,0.00099731,-0.031061,0.031259,-0.005871,0.0059191,-3.3999e-05,0.0083369,-0.0054854,0.0055383
0.39,0,0,0.0074994,-0.0076336,5.2414e-07,-0.0041378,18.399,0.1087,0.054352,0.16306,-0.0074994,0.0076336,-0.0010444,0.0010705,-0.031515,0.031703,-0.0059823,0.0060291,-3.3055e-05,0.0084934,-0.0055997,0.0056511
0.4,0,0,0.007819,-0.007955,5.6818e-07,-0.004221,18.4,0.1087,0.054349,0.16305,-0.007819,0.007955,-0.0011194,0.0011468,-0.031959,0.032138,-0.0060928,0.0061383,-3.2139e-05,0.0086487,-0.0057132,0.0057632
0.41,0,0,0.0081429,-0.0082806,6.1463e-07,-0.004307,18.4,0.1087,0.054348,0.16304,-0.0081429,0.0082806,-0.0011976,0.0012264,-0.032395,0.032564,-0.0062025,0.0062467,-3.1247e-05,0.0088029,-0.0058259,0.0058745
0.42,0,0,0.0084711,-0.0086104,6.6355e-07,-0.0043958,18.4,0.10869,0.054347,0.16304,-0.0084711,0.0086104,-0.001279,0.0013092,-0.032823,0.032982,-0.0063116,0.0063546,-3.0382e-05,0.0089564,-0.0059376,0.0059849
0.43,0,0,0.0088036,-0.0089444,7.1499e-07,-0.0044873,18.4,0.10869,0.054347,0.16304,-0.0088036,0.0089444,-0.0013637,0.0013953,-0.033242,0.033393,-0.0064201,0.0064619,-2.954e-05,0.0091089,-0.0060485,0.0060945
0.44,0,0,0.0091401,-0.0092823,7.6903e-07,-0.0045816,18.401,0.10869,0.054346,0.16304,-0.0091401,0.0092823,-0.0014518,0.0014847,-0.033654,0.033797,-0.0065279,0.0065685,-2.8722e-05,0.0092606,-0.0061586,0.0062033
0.45,0,0,0.0094807,-0.0096243,8.2572e-07,-0.0046786,18.401,0.10869,0.054345,0.16304,-0.0094807,0.0096243,-0.0015432,0.0015775,-0.034059,0.034193,-0.0066352,0.0066747,-2.7927e-05,0.0094116,-0.006268,0.0063114
0.46,0,0,0.0098253,-0.0099701,8.8512e-07,-0.0047785,18.401,0.10869,0.054345,0.16303,-0.0098253,0.0099701,-0.001638,0.0016738,-0.034458,0.034584,-0.0067421,0.0067805,-2.7154e-05,0.0095619,-0.0063767,0.0064189
0.47,0,0,0.010174,-0.01032,9.4729e-07,-0.0048811,18.401,0.10869,0.054344,0.16303,-0.010174,0.01032,-0.0017362,0.0017735,-0.034851,0.034969,-0.0068485,0.0068859,-2.6403e-05,0.0097117,-0.0064848,0.0065259
0.48,0,0,0.010526,-0.010673,1.0123e-06,-0.0049864,18.401,0.10869,0.054344,0.16303,-0.010526,0.010673,-0.001838,0.0018767,-0.035238,0.035348,-0.0069546,0.0069909,-2.5673e-05,0.009861,-0.0065923,0.0066323
0.49,0,0,0.010882,-0.01103,1.0802e-06,-0.0050946,18.402,0.10869,0.054343,0.16303,-0.010882,0.01103,-0.0019432,0.0019834,-0.035619,0.035722,-0.0070605,0.0070958,-2.4963e-05,0.01001,-0.0066994,0.0067382
0.5,0,0,0.011242,-0.011391,1.1511e-06,-0.0052055,18.402,0.10869,0.054343,0.16303,-0.011242,0.011391,-0.0020521,0.0020937,-0.035996,0.036091,-0.007166,0.0072004,-2.4273e-05,0.010159,-0.006806,0.0068438
0.51,0,0,0.011606,-0.011756,1.225e-06,-0.0053192,18.402,0.10868,0.054342,0.16303,-0.011606,0.011756,-0.0021645,0.0022076,-0.036368,0.036456,-0.0072714,0.0073048,-2.3603e-05,0.010307,-0.0069122,0.006949
0.52,0,0,0.011973,-0.012124,1.3019e-06,-0.0054357,18.402,0.10868,0.054342,0.16302,-0.011973,0.012124,-0.0022805,0.0023252,-0.036735,0.036817,-0.0073766,0.0074091,-2.2952e-05,0.010455,-0.0070182,0.0070539
0.53,0,0,0.012344,-0.012496,1.382e-06,-0.005555,18.402,0.10868,0.054341,0.16302,-0.012344,0.012496,-0.0024003,0.0024464,-0.037099,0.037174,-0.0074818,0.0075134,-2.2319e-05,0.010603,-0.0071239,0.0071586
0.54,0,0,0.012719,-0.012871,1.4653e-06,-0.0056772,18.402,0.10868,0.054341,0.16302,-0.012719,0.012871,-0.0025237,0.0025714,-0.037459,0.037527,-0.0075869,0.0076176,-2.1704e-05,0.010751,-0.0072293,0.0072631
0.55,0,0,0.013097,-0.01325,1.5519e-06,-0.0058021,18.403,0.10868,0.05434,0.16302,-0.013097,0.01325,-0.0026509,0.0027001,-0.037815,0.037877,-0.007692,0.0077218,-2.1107e-05,0.010899,-0.0073346,0.0073675
0.56,0,0,0.013479,-0.013632,1.6418e-06,-0.0059298,18.403,0.10868,0.054339,0.16302,-0.013479,0.013632,-0.0027819,0.0028326,-0.038168,0.038224,-0.0077971,0.0078261,-2.0528e-05,0.011047,-0.0074398,0.0074717
0.57,0,0,0.013864,-0.014018,1.7351e-06,-0.0060603,18.403,0.10868,0.054339,0.16302,-0.013864,0.014018,-0.0029167,0.0029689,-0.038518,0.038569,-0.0079023,0.0079305,-1.9965e-05,0.011195,-0.0075449,0.007576
0.58,0,0,0.014253,-0.014407,1.8319e-06,-0.0061936,18.403,0.10868,0.054338,0.16301,-0.014253,0.014407,-0.0030553,0.0031091,-0.038866,0.03891,-0.0080076,0.008035,-1.9418e-05,0.011344,-0.00765,0.0076802
0.59,0,0,0.014645,-0.014799,1.9321e-06,-0.0063297,18.403,0.10868,0.054338,0.16301,-0.014645,0.014799,-0.0031978,0.0032532,-0.039211,0.03925,-0.008113,0.0081397,-1.8888e-05,0.011492,-0.0077551,0.0077845
0.6,0,0,0.01504,-0.015195,2.036e-06,-0.0064687,18.404,0.10867,0.054337,0.16301,-0.01504,0.015195,-0.0033443,0.0034012,-0.039553,0.039587,-0.0082186,0.0082446,-1.8373e-05,0.011641,-0.0078603,0.0078889
0.61,0,0,0.015439,-0.015595,2.1435e-06,-0.0066105,18.404,0.10867,0.054336,0.16301,-0.015439,0.015595,-0.0034947,0.0035531,-0.039893,0.039922,-0.0083244,0.0083496,-1.7873e-05,0.01179,-0.0079656,0.0079933
0.62,0,0,0.015841,-0.015997,2.2547e-06,-0.0067551,18.404,0.10867,0.054335,0.16301,-0.015841,0.015997,-0.0036491,0.0037091,-0.040232,0.040255,-0.0084304,0.0084549,-1.7388e-05,0.01194,-0.0080709,0.008098
0.63,0,0,0.016247,-0.016403,2.3697e-06,-0.0069025,18.405,0.10867,0.054334,0.163,-0.016247,0.016403,-0.0038075,0.003869,-0.040568,0.040587,-0.0085366,0.0085605,-1.6917e-05,0.012089,-0.0081765,0.0082028
0.64,0,0,0.016656,-0.016812,2.4886e-06,-0.0070527,18.405,0.10867,0.054334,0.163,-0.016656,0.016812,-0.00397,0.0040331,-0.040903,0.040917,-0.0086431,0.0086663,-1.6461e-05,0.01224,-0.0082822,0.0083078
0.65,0,0,0.017069,-0.017225,2.6113e-06,-0.0072058,18.405,0.10867,0.054333,0.163,-0.017069,0.017225,-0.0041365,0.0042012,-0.041236,0.041246,-0.0087498,0.0087725,-1.6018e-05,0.01239,-0.0083881,0.008413
0.66,0,0,0.017484,-0.01764,2.7381e-06,-0.0073617,18.405,0.10866,0.054332,0.16299,-0.017484,0.01764,-0.0043072,0.0043734,-0.041568,0.041573,-0.0088569,0.008879,-1.5589e-05,0.012541,-0.0084942,0.0085184
0.67,0,0,0.017903,-0.018059,2.8689e-06,-0.0075205,18.406,0.10866,0.054331,0.16299,-0.017903,0.018059,-0.004482,0.0045498,-0.041899,0.041899,-0.0089643,0.0089858,-1.5173e-05,0.012693,-0.0086006,0.0086242
0.68,0,0,0.018325,-0.018482,3.0038e-06,-0.0076821,18.406,0.10866,0.054329,0.16299,-0.018325,0.018482,-0.0046611,0.0047304,-0.042228,0.042224,-0.009072,0.0090929,-1.4769e-05,0.012845,-0.0087073,0.0087302
0.69,0,0,0.018751,-0.018907,3.1429e-06,-0.0078466,18.407,0.10866,0.054328,0.16298,-0.018751,0.018907,-0.0048443,0.0049152,-0.042556,0.042548,-0.0091801,0.0092005,-1.4379e-05,0.012997,-0.0088143,0.0088366
0.7,0,0,0.01918,-0.019336,3.2862e-06,-0.0080139,18.407,0.10865,0.054327,0.16298,-0.01918,0.019336,-0.0050318,0.0051043,-0.042883,0.042871,-0.0092886,0.0093084,-1.4e-05,0.01315,-0.0089215,0.0089432
0.71,0,0,0.019612,-0.019768,3.4339e-06,-0.0081841,18.407,0.10865,0.054326,0.16298,-0.019612,0.019768,-0.0052236,0.0052977,-0.043209,0.043193,-0.0093974,0.0094167,-1.3633e-05,0.013304,-0.0090291,0.0090503
0.72,0,0,0.020047,-0.020203,3.586e-06,-0.0083571,18.408,0.10865,0.054325,0.16297,-0.020047,0.020203,-0.0054198,0.0054953,-0.043534,0.043515,-0.0095067,0.0095255,-1.3278e-05,0.013458,-0.0091371,0.0091577
0.73,0,0,0.020486,-0.020641,3.7425e-06,-0.008533,18.408,0.10865,0.054323,0.16297,-0.020486,0.020641,-0.0056202,0.0056974,-0.043859,0.043836,-0.0096164,0.0096347,-1.2935e-05,0.013613,-0.0092454,0.0092654
0.74,0,0,0.020928,-0.021083,3.9036e-06,-0.0087117,18.409,0.10864,0.054322,0.16297,-0.020928,0.021083,-0.0058251,0.0059038,-0.044183,0.044156,-0.0097264,0.0097442,-1.2602e-05,0.013768,-0.0093541,0.0093736
0.75,0,0,0.021373,-0.021527,4.0693e-06,-0.0088934,18.409,0.10864,0.054321,0.16296,-0.021373,0.021527,-0.0060344,0.0061146,-0.044506,0.044476,-0.0098369,0.0098543,-1.228e-05,0.013924,-0.0094632,0.0094822
0.76,0,0,0.021821,-0.021975,4.2397e-06,-0.0090779,18.41,0.10864,0.054319,0.16296,-0.021821,0.021975,-0.0062481,0.0063299,-0.044828,0.044795,-0.0099479,0.0099648,-1.1969e-05,0.01408,-0.0095727,0.0095912
0.77,0,0,0.022273,-0.022427,4.4148e-06,-0.0092652,18.41,0.10864,0.054318,0.16295,-0.022273,0.022427,-0.0064663,0.0065496,-0.04515,0.045113,-0.010059,0.010076,-1.1669e-05,0.014238,-0.0096826,0.0097007
0.78,0,0,0.022727,-0.022881,4.5948e-06,-0.0094555,18.411,0.10863,0.054316,0.16295,-0.022727,0.022881,-0.006689,0.0067739,-0.045471,0.045432,-0.010171,0.010187,-1.1378e-05,0.014395,-0.009793,0.0098105
