0.11,-0.010307,-0.011569,0,0.32276,2.6302,1.3854,345.02,345.02,5.5056,5.5056,4.0459e+05,3878.5,76650,76650,0,0,0,-12,-505.92,-505.92,0,0,0,15623,0.41605,0.82614,-8.035,0,0,-8.3206,0,0,190.7,25.884,0,-9.2044e-08,0.050026,0.0024291,6378.2,-44.368,-2.3005,-2.316,0.0012765,0,9.8141,-9.8141,-0.00097783,0.0008205,0.015169,0.015169,9.5248e-09,0.015487,-50,6.1737e+05
0.12,-0.010339,-0.011542,0,0.32276,2.6302,1.3854,345.02,345.02,5.5056,5.5056,4.1747e+05,3878.4,76645,76645,0,0,0,-12,-505.92,-505.92,0,0,0,15621,0.59917,0.99142,-8.0349,0,0,-8.3206,0,0,190.7,26.711,0,-1.2363e-07,0.050035,0.0029151,6378.2,-44.368,-2.3005,-2.316,0.0012765,0,9.8141,-9.8141,-0.00097783,0.0008205,0.014225,0.014225,-5.3932e-08,0.015487,-50,6.3024e+05
0.13,-0.010371,-0.011515,0,0.32276,2.6302,1.3854,345.02,345.02,5.5056,5.5056,4.2838e+05,3878.3,76640,76640,0,0,0,-12,-505.92,-505.92,0,0,0,15619,0.8264,1.1643,-8.0348,0,0,-8.3206,0,0,190.7,27.412,0,-1.6066e-07,0.050046,0.0034235,6378.2,-44.368,-2.3005,-2.316,0.0012765,0,9.8141,-9.8141,-0.00097783,0.0008205,0.013551,0.013551,-7.4766e-08,0.015487,-50,6.4115e+05
0.14,-0.010403,-0.011488,0,0.32276,2.6302,1.3854,345.02,345.02,5.5056,5.5056,4.3764e+05,3878.1,76635,76635,0,0,0,-12,-505.92,-505.92,0,0,0,15617,1.1007,1.3437,-8.0347,0,0,-8.3206,0,0,190.7,28.008,0,-2.0327e-07,0.050059,0.003951,6378.2,-44.368,-2.3005,-2.316,0.0012765,0,9.8141,-9.8141,-0.00097783,0.0008205,0.012847,0.012847,-3.7547e-08,0.015487,-50,6.5041e+05
0.15,-0.010435,-0.011461,0,0.32276,2.6302,1.3854,345.02,345.02,5.5056,5.5056,4.4548e+05,3878,76630,76630,0,0,0,-12,-505.92,-505.92,0,0,0,15615,1.4244,1.5286,-8.0346,0,0,-8.3206,0,0,190.7,28.513,0,-2.5157e-07,0.050073,0.0044947,6378.2,-44.368,-2.3005,-2.316,0.0012765,0,9.8141,-9.8141,-0.00097783,0.0008205,0.012246,0.012246,1.8901e-08,0.015487,-50,6.5825e+05
0.16,-0.010467,-0.011434,0,0.32276,2.6302,1.3854,345.02,345.02,5.5056,5.5056,4.5211e+05,3877.9,76625,76625,0,0,0,-12,-505.92,-505.92,0,0,0,15613,1.7995,1.7182,-8.0346,0,0,-8.3206,0,0,190.7,28.941,0,-3.0564e-07,0.050089,0.005052,6378.2,-44.368,-2.3005,-2.316,0.0012765,0,9.8141,-9.8141,-0.00097783,0.0008205,0.011783,0.011783,5.1779e-08,0.015487,-50,6.6488e+05
0.17,-0.010499,-0.011408,0,0.32276,2.6302,1.3854,345.02,345.02,5.5056,5.5056,4.5773e+05,3877.8,76620,76620,0,0,0,-12,-505.92,-505.92,0,0,0,15611,2.2277,1.9117,-8.0345,0,0,-8.3206,0,0,190.7,29.304,0,-3.6552e-07,0.050107,0.0056209,6378.2,-44.368,-2.3005,-2.316,0.0012765,0,9.8141,-9.8141,-0.00097783,0.0008205,0.011393,0.011393,2.0951e-08,0.015487,-50,6.705e+05
0.18,-0.01053,-0.011381,0,0.32276,2.6302,1.3854,345.02,345.02,5.5056,5.5056,4.625e+05,3877.7,76615,76615,0,0,0,-12,-505.92,-505.92,0,0,0,15609,2.71,2.1085,-8.0344,0,0,-8.3206,0,0,190.7,29.613,0,-4.3127e-07,0.050128,0.0061997,6378.2,-44.368,-2.3005,-2.316,0.0012765,0,9.8141,-9.8141,-0.00097783,0.0008205,0.011047,0.011047,-4.392e-08,0.015487,-50,6.7527e+05
0.19,-0.010562,-0.011354,0,0.32276,2.6302,1.3854,345.02,345.02,5.5056,5.5056,4.6656e+05,3877.6,76610,76610,0,0,0,-12,-505.92,-505.92,0,0,0,15607,3.2476,2.3082,-8.0343,0,0,-8.3206,0,0,190.7,29.877,0,-5.0291e-07,0.05015,0.0067868,6378.2,-44.368,-2.3005,-2.316,0.0012765,0,9.8141,-9.8141,-0.00097783,0.0008205,0.010746,0.010746,-6.1711e-08,0.015487,-50,6.7933e+05
0.2,-0.010594,-0.011327,0,0.32276,2.6302,1.3854,345.02,345.02,5.5056,5.5056,4.6997e+05,3877.4,76605,76605,0,0,0,-12,-505.92,-505.92,0,0,0,15605,3.8412,2.5103,-8.0342,0,0,-8.3206,0,0,190.7,30.099,0,-5.8048e-07,0.050174,0.007381,6378.2,-44.368,-2.3005,-2.316,0.0012765,0,9.8141,-9.8141,-0.00097783,0.0008205,0.010486,0.010486,-2.097e-08,0.015487,-50,6.8274e+05
