time [s]	pitch[degree/s]	yaw[degree/s]	roll[degree/s]	altitude[km]	long[degrees]	latd[degrees]	thrust[kN]
   3.6000000e-01  -2.0912854e-08  -1.2760224e-01  -5.0001336e+01   4.7339982e-02   1.6018840e+01   6.9294098e+01   4.8531328e+05
   3.7000000e-01  -2.1057601e-08  -1.2760224e-01  -5.0001376e+01   4.7399745e-02   1.6018840e+01   6.9294098e+01   4.8529021e+05
   3.8000000e-01  -9.0129235e-09  -1.2760224e-01  -5.0001415e+01   4.7461641e-02   1.6018840e+01   6.9294098e+01   4.8527303e+05
   3.9000000e-01   7.8721837e-09  -1.2760224e-01  -5.0001454e+01   4.7525669e-02   1.6018840e+01   6.9294098e+01   4.8525870e+05
   4.0000000e-01   1.9377328e-08  -1.2760224e-01  -5.0001493e+01   4.7591830e-02   1.6018840e+01   6.9294098e+01   4.8523732e+05
   4.1000000e-01   1.8596736e-08  -1.2760224e-01  -5.0001532e+01   4.7660124e-02   1.6018840e+01   6.9294098e+01   4.8520264e+05
   4.2000000e-01   8.7671583e-09  -1.2760224e-01  -5.0001571e+01   4.7730552e-02   1.6018840e+01   6.9294098e+01   4.8515957e+05
   4.3000000e-01  -4.9417282e-09  -1.2760224e-01  -5.0001610e+01   4.7803112e-02   1.6018840e+01   6.9294098e+01   4.8511516e+05
   4.4000000e-01  -1.7406898e-08  -1.2760224e-01  -5.0001649e+01   4.7877806e-02   1.6018840e+01   6.9294098e+01   4.8507368e+05
   4.5000000e-01  -2.3603763e-08  -1.2760224e-01  -5.0001688e+01   4.7954634e-02   1.6018840e+01   6.9294098e+01   4.8503363e+05
   4.6000000e-01  -1.8629198e-08  -1.2760224e-01  -5.0001727e+01   4.8033595e-02   1.6018840e+01   6.9294098e+01   4.8499279e+05
   4.7000000e-01  -3.3977794e-09  -1.2760224e-01  -5.0001766e+01   4.8114691e-02   1.6018840e+01   6.9294098e+01   4.8495018e+05
   4.8000000e-01   1.2550237e-08  -1.2760225e-01  -5.0001805e+01   4.8197920e-02   1.6018840e+01   6.9294098e+01   4.8490674e+05
   4.9000000e-01   1.9262920e-08  -1.2760225e-01  -5.0001844e+01   4.8283284e-02   1.6018840e+01   6.9294098e+01   4.8486349e+05
   5.0000000e-01   1.4036629e-08  -1.2760225e-01  -5.0001883e+01   4.8370782e-02   1.6018840e+01   6.9294098e+01   4.8482086e+05
   5.1000000e-01   1.8042794e-09  -1.2760225e-01  -5.0001923e+01   4.8460414e-02   1.6018840e+01   6.9294098e+01   4.8477860e+05
   5.2000000e-01  -1.2151838e-08  -1.2760225e-01  -5.0001962e+01   4.8552181e-02   1.6018840e+01   6.9294098e+01   4.8473647e+05
   5.3000000e-01  -2.2760720e-08  -1.2760225e-01  -5.0002001e+01   4.8646082e-02   1.6018840e+01   6.9294098e+01   4.8469438e+05
   5.4000000e-01  -2.5109784e-08  -1.2760225e-01  -5.0002040e+01   4.8742118e-02   1.6018840e+01   6.9294098e+01   4.8465237e+05
   5.5000000e-01  -1.5307063e-08  -1.2760225e-01  -5.0002079e+01   4.8840289e-02   1.6018840e+01   6.9294098e+01   4.8461049e+05
   5.6000000e-01   1.3881346e-09  -1.2760225e-01  -5.0002118e+01   4.8940595e-02   1.6018840e+01   6.9294098e+01   4.8456863e+05
   5.7000000e-01   1.4873613e-08  -1.2760225e-01  -5.0002157e+01   4.9043036e-02   1.6018840e+01   6.9294098e+01   4.8452666e+05
   5.8000000e-01   1.6686851e-08  -1.2760226e-01  -5.0002196e+01   4.9147612e-02   1.6018840e+01   6.9294098e+01   4.8448449e+05
   5.9000000e-01   8.3507950e-09  -1.2760226e-01  -5.0002235e+01   4.9254324e-02   1.6018840e+01   6.9294098e+01   4.8444250e+05
   6.0000000e-01  -4.9446321e-09  -1.2760226e-01  -5.0002274e+01   4.9363171e-02   1.6018840e+01   6.9294098e+01   4.8440122e+05
   6.1000000e-01  -1.8053774e-08  -1.2760226e-01  -5.0002313e+01   4.9474154e-02   1.6018840e+01   6.9294098e+01   4.8436103e+05
   6.2000000e-01  -2.6030513e-08  -1.2760226e-01  -5.0002352e+01   4.9587272e-02   1.6018840e+01   6.9294098e+01   4.8432162e+05
   6.3000000e-01  -2.3984084e-08  -1.2760226e-01  -5.0002391e+01   4.9702527e-02   1.6018840e+01   6.9294098e+01   4.8428251e+05
   6.4000000e-01  -1.0590428e-08  -1.2760226e-01  -5.0002430e+01   4.9819917e-02   1.6018840e+01   6.9294098e+01   4.8424343e+05
   6.5000000e-01   5.7620847e-09  -1.2760226e-01  -5.0002469e+01   4.9939444e-02   1.6018840e+01   6.9294098e+01   4.8420464e+05
