t[s]		thtr[deg]	psir[deg]	phir[deg]	CA[-]		Clp[-]		Cld[1/rad]	Cmq[1/rad]	Cnr[1/rad]	CNa[1/rad]	CYb[1/rad]	emp[N]		Ixx[kgm2]	Iyy[kgm2]	Izz[kgm2]	Ixy[kgm2]	Ixz[kgm2]	Iyz[kgm2]	Ixxp[kgm2]	Iyyp[kgm2]	Izzp[kgm2]	Ixyp[kgm2]	Ixzp[kgm2]	Iyzp[kgm2]	massa[kg]	pdin[Pa]	U[m/s]		Xcg[m]		Ycg[m]		Zcg[m]		Xcp[m]		Ycp[m]		Zcp[m]		mp[kg/s]	ax_net[m/s2]	ay_net[m/s2]	az_net[m/s2]	altitude[km]	mach[-]		Rec[km]		long[deg]	gcLat[deg]	gdLat[deg]	gravXV[m/s2]	gravYV[m/s2]	gravZV[m/s2]	gravXB[m/s2]	gravYB[m/s2]	gravZB[m/s2]	AoA[deg]	AoAtotal[deg] 	DLR_pitch[deg]	DLR_yaw[deg]	DLR_roll[deg]
  2.6000000e-003  8.2018232e-002  9.7751440e-002  0.0000000e+000  3.2275580e-001  2.6302000e+000  1.3854000e+000  3.4502190e+002  3.4502190e+002  5.5055500e+000  5.5055500e+000  0.0000000e+000  3.8797988e+003  7.6704795e+004  7.6704795e+004  0.0000000e+000  0.0000000e+000  0.0000000e+000 -1.2000000e+001 -5.0592000e+002 -5.0592000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  1.5643054e+004  0.0000000e+000  0.0000000e+000 -8.0359766e+000  0.0000000e+000  0.0000000e+000 -8.3206000e+000  0.0000000e+000  0.0000000e+000  1.9070000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  4.6500000e-002  0.0000000e+000  6.3594919e+003  1.6018840e+001  6.9166496e+001  6.9294098e+001 -1.0703515e-002  0.0000000e+000  9.8297329e+000 -9.8297329e+000 -1.0058014e-002 -3.6608177e-003  0.0000000e+000  0.0000000e+000  2.2557069e-008 -1.2760223e-001 -4.9999940e+001
  2.8600000e-003  8.2017957e-002  9.7751671e-002  0.0000000e+000  3.2275580e-001  2.6302000e+000  1.3854000e+000  3.4502190e+002  3.4502190e+002  5.5055500e+000  5.5055500e+000  0.0000000e+000  3.8797957e+003  7.6704663e+004  7.6704663e+004  0.0000000e+000  0.0000000e+000  0.0000000e+000 -1.2000000e+001 -5.0592000e+002 -5.0592000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  1.5643005e+004  0.0000000e+000  0.0000000e+000 -8.0359743e+000  0.0000000e+000  0.0000000e+000 -8.3206000e+000  0.0000000e+000  0.0000000e+000  1.9070000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  4.6500000e-002  0.0000000e+000  6.3594919e+003  1.6018840e+001  6.9166496e+001  6.9294098e+001 -1.0703515e-002  0.0000000e+000  9.8297329e+000 -9.8297329e+000 -1.0058014e-002 -3.6608177e-003  0.0000000e+000  0.0000000e+000 -4.6433382e-009 -1.2760223e-001 -4.9999941e+001
  3.1200000e-003  8.2017637e-002  9.7751940e-002  0.0000000e+000  3.2275580e-001  2.6302000e+000  1.3854000e+000  3.4502190e+002  3.4502190e+002  5.5055500e+000  5.5055500e+000  0.0000000e+000  3.8797926e+003  7.6704532e+004  7.6704532e+004  0.0000000e+000  0.0000000e+000  0.0000000e+000 -1.2000000e+001 -5.0592000e+002 -5.0592000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  1.5642955e+004  0.0000000e+000  0.0000000e+000 -8.0359719e+000  0.0000000e+000  0.0000000e+000 -8.3206000e+000  0.0000000e+000  0.0000000e+000  1.9070000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  4.6500000e-002  0.0000000e+000  6.3594919e+003  1.6018840e+001  6.9166496e+001  6.9294098e+001 -1.0703515e-002  0.0000000e+000  9.8297329e+000 -9.8297329e+000 -1.0058014e-002 -3.6608177e-003  0.0000000e+000  0.0000000e+000  2.7054280e-008 -1.2760223e-001 -4.9999942e+001
  3.3800000e-003  8.2017362e-002  9.7752170e-002  0.0000000e+000  3.2275580e-001  2.6302000e+000  1.3854000e+000  3.4502190e+002  3.4502190e+002  5.5055500e+000  5.5055500e+000  1.8623949e+003  3.8797894e+003  7.6704400e+004  7.6704400e+004  0.0000000e+000  0.0000000e+000  0.0000000e+000 -1.2000000e+001 -5.0592000e+002 -5.0592000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  1.5642905e+004  0.0000000e+000  0.0000000e+000 -8.0359696e+000  0.0000000e+000  0.0000000e+000 -8.3206000e+000  0.0000000e+000  0.0000000e+000  1.9070000e+002  1.1905229e-001  0.0000000e+000  0.0000000e+000  4.6500000e-002  0.0000000e+000  6.3594919e+003  1.6018840e+001  6.9166496e+001  6.9294098e+001 -1.0703515e-002  0.0000000e+000  9.8297329e+000 -9.8297329e+000 -1.0058014e-002 -3.6608177e-003  0.0000000e+000  0.0000000e+000 -7.8891669e-010 -1.2760223e-001 -4.9999943e+001
  3.6400000e-003  8.2017087e-002  9.7752401e-002  0.0000000e+000  3.2275580e-001  2.6302000e+000  1.3854000e+000  3.4502190e+002  3.4502190e+002  5.5055500e+000  5.5055500e+000  4.1888402e+003  3.8797863e+003  7.6704268e+004  7.6704268e+004  0.0000000e+000  0.0000000e+000  0.0000000e+000 -1.2000000e+001 -5.0592000e+002 -5.0592000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  1.5642856e+004  0.0000000e+000  0.0000000e+000 -8.0359672e+000  0.0000000e+000  0.0000000e+000 -8.3206000e+000  0.0000000e+000  0.0000000e+000  1.9070000e+002  2.6776876e-001  0.0000000e+000  0.0000000e+000  4.6500000e-002  0.0000000e+000  6.3594919e+003  1.6018840e+001  6.9166496e+001  6.9294098e+001 -1.0703515e-002  0.0000000e+000  9.8297329e+000 -9.8297329e+000 -1.0058014e-002 -3.6608177e-003  0.0000000e+000  0.0000000e+000 -2.7989324e-008 -1.2760223e-001 -4.9999944e+001
  3.9000000e-003  8.2016767e-002  9.7752670e-002  0.0000000e+000  3.2275580e-001  2.6302000e+000  1.3854000e+000  3.4502190e+002  3.4502190e+002  5.5055500e+000  5.5055500e+000  6.5152856e+003  3.8797832e+003  7.6704137e+004  7.6704137e+004  0.0000000e+000  0.0000000e+000  0.0000000e+000 -1.2000000e+001 -5.0592000e+002 -5.0592000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  1.5642806e+004  0.0000000e+000  0.0000000e+000 -8.0359649e+000  0.0000000e+000  0.0000000e+000 -8.3206000e+000  0.0000000e+000  0.0000000e+000  1.9070000e+002  4.1648535e-001  0.0000000e+000  0.0000000e+000  4.6500000e-002  0.0000000e+000  6.3594919e+003  1.6018840e+001  6.9166496e+001  6.9294098e+001 -1.0703515e-002  0.0000000e+000  9.8297329e+000 -9.8297329e+000 -1.0058014e-002 -3.6608177e-003  0.0000000e+000  0.0000000e+000  3.7082948e-009 -1.2760223e-001 -4.9999945e+001
  4.1600000e-003  8.2016492e-002  9.7752900e-002  0.0000000e+000  3.2275580e-001  2.6302000e+000  1.3854000e+000  3.4502190e+002  3.4502190e+002  5.5055500e+000  5.5055500e+000  8.7765862e+003  3.8797801e+003  7.6704005e+004  7.6704005e+004  0.0000000e+000  0.0000000e+000  0.0000000e+000 -1.2000000e+001 -5.0592000e+002 -5.0592000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  1.5642757e+004  0.0000000e+000  0.0000000e+000 -8.0359626e+000  0.0000000e+000  0.0000000e+000 -8.3206000e+000  0.0000000e+000  0.0000000e+000  1.9070000e+002  5.6103773e-001  0.0000000e+000  0.0000000e+000  4.6500000e-002  0.0000000e+000  6.3594919e+003  1.6018840e+001  6.9166496e+001  6.9294098e+001 -1.0703515e-002  0.0000000e+000  9.8297329e+000 -9.8297329e+000 -1.0058014e-002 -3.6608177e-003  0.0000000e+000  0.0000000e+000 -2.4134902e-008 -1.2760223e-001 -4.9999946e+001
  4.4200000e-003  8.2016171e-002  9.7753169e-002  0.0000000e+000  3.2275580e-001  2.6302000e+000  1.3854000e+000  3.4502190e+002  3.4502190e+002  5.5055500e+000  5.5055500e+000  1.1013886e+004  3.8797770e+003  7.6703874e+004  7.6703874e+004  0.0000000e+000  0.0000000e+000  0.0000000e+000 -1.2000000e+001 -5.0592000e+002 -5.0592000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  1.5642707e+004  0.0000000e+000  0.0000000e+000 -8.0359602e+000  0.0000000e+000  0.0000000e+000 -8.3206000e+000  0.0000000e+000  0.0000000e+000  1.9070000e+002  7.0405600e-001  0.0000000e+000  0.0000000e+000  4.6500000e-002  0.0000000e+000  6.3594919e+003  1.6018840e+001  6.9166496e+001  6.9294098e+001 -1.0703515e-002  0.0000000e+000  9.8297329e+000 -9.8297329e+000 -1.0058014e-002 -3.6608177e-003  0.0000000e+000  0.0000000e+000  8.3287610e-009 -1.2760222e-001 -4.9999947e+001
  4.6800000e-003  8.2015896e-002  9.7753400e-002  0.0000000e+000  3.2275580e-001  2.6302000e+000  1.3854000e+000  3.4502190e+002  3.4502190e+002  5.5055500e+000  5.5055500e+000  1.3251186e+004  3.8797738e+003  7.6703742e+004  7.6703742e+004  0.0000000e+000  0.0000000e+000  0.0000000e+000 -1.2000000e+001 -5.0592000e+002 -5.0592000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  1.5642658e+004  0.0000000e+000  0.0000000e+000 -8.0359579e+000  0.0000000e+000  0.0000000e+000 -8.3206000e+000  0.0000000e+000  0.0000000e+000  1.9070000e+002  8.4707439e-001  0.0000000e+000  0.0000000e+000  4.6500000e-002  0.0000000e+000  6.3594919e+003  1.6018840e+001  6.9166496e+001  6.9294098e+001 -1.0703515e-002  0.0000000e+000  9.8297329e+000 -9.8297329e+000 -1.0058014e-002 -3.6608177e-003  0.0000000e+000  0.0000000e+000 -1.8871646e-008 -1.2760223e-001 -4.9999948e+001
  4.9400000e-003  8.2015576e-002  9.7753669e-002  0.0000000e+000  3.2275580e-001  2.6302000e+000  1.3854000e+000  3.4502190e+002  3.4502190e+002  5.5055500e+000  5.5055500e+000  1.5428167e+004  3.8797707e+003  7.6703611e+004  7.6703611e+004  0.0000000e+000  0.0000000e+000  0.0000000e+000 -1.2000000e+001 -5.0592000e+002 -5.0592000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  1.5642608e+004  0.0000000e+000  0.0000000e+000 -8.0359555e+000  0.0000000e+000  0.0000000e+000 -8.3206000e+000  0.0000000e+000  0.0000000e+000  1.9070000e+002  9.8623705e-001  0.0000000e+000  0.0000000e+000  4.6500000e-002  0.0000000e+000  6.3594919e+003  1.6018840e+001  6.9166496e+001  6.9294098e+001 -1.0703515e-002  0.0000000e+000  9.8297329e+000 -9.8297329e+000 -1.0058014e-002 -3.6608177e-003  0.0000000e+000  0.0000000e+000  1.2825972e-008 -1.2760223e-001 -4.9999949e+001
