t[s]	emp[N]	Ixx[kgm2]	Iyy[kgm2]	Izz[kgm2]	massa[kg]	Xcg[m]	altitude[km]	long[deg]	gdLat[deg]	DLR_pitch[deg]	DLR_yaw[deg]	DLR_roll[deg]
0.120000000	417465.613239739	3878.390003063	76645.399882574	76645.399882574	15620.666267837	-8.034920020	0.050035389	-44.367775000	-2.315994800	0.000161023	0.015486968	-50.000367509
0.130000000	428379.894822131	3878.269996715	76640.340572994	76640.340572994	15618.759164642	-8.034829979	0.050046162	-44.367775000	-2.315994800	0.000174426	0.015486968	-50.000398221
0.140000000	437637.173338037	3878.149987225	76635.281309261	76635.281309261	15616.851785687	-8.034739957	0.050058697	-44.367775000	-2.315994800	0.000187886	0.015486967	-50.000428933
0.150000000	445476.565082563	3878.029968147	76630.222050399	76630.222050399	15614.944779988	-8.034649976	0.050073055	-44.367775000	-2.315994800	0.000201366	0.015486967	-50.000459644
0.160000000	452110.546862411	3877.909955241	76625.162778394	76625.162778394	15613.038078770	-8.034560014	0.050089286	-44.367775000	-2.315994800	0.000214822	0.015486967	-50.000490356
0.170000000	457729.136119988	3877.789980471	76620.103498992	76620.103498992	15611.131019178	-8.034470012	0.050107433	-44.367775000	-2.315994800	0.000228214	0.015486966	-50.000521068
0.180000000	462498.924923110	3877.670027597	76615.044227453	76615.044227453	15609.223642641	-8.034379984	0.050127531	-44.367775000	-2.315994800	0.000241572	0.015486966	-50.000551780
0.190000000	466562.231488324	3877.550044423	76609.984981657	76609.984981657	15607.316541196	-8.034289992	0.050149612	-44.367775000	-2.315994800	0.000254977	0.015486965	-50.000582492
0.200000000	469974.924169706	3877.430027728	76604.925715280	76604.925715280	15605.409819242	-8.034200031	0.050173703	-44.367775000	-2.315994800	0.000268441	0.015486965	-50.000613204
0.210000000	472744.340949416	3877.310010248	76599.866352893	76599.866352893	15603.503201106	-8.034110040	0.050199826	-44.367775000	-2.315994800	0.000281921	0.015486964	-50.000643915
0.220000000	475089.251551465	3877.190001925	76594.807072968	76594.807072968	15601.596402801	-8.034020013	0.050227998	-44.367775000	-2.315994800	0.000295374	0.015486963	-50.000674627
0.230000000	477337.393717219	3877.069996013	76589.748188809	76589.748188809	15599.689185198	-8.033929976	0.050258237	-44.367775000	-2.315994800	0.000308761	0.015486962	-50.000705339
0.240000000	479332.015765772	3876.949985420	76584.689485238	76584.689485238	15597.781835017	-8.033839957	0.050290556	-44.367775000	-2.315994800	0.000322120	0.015486961	-50.000736051
0.250000000	480654.364996479	3876.829965345	76579.630447706	76579.630447706	15595.874911829	-8.033749981	0.050324967	-44.367775000	-2.315994800	0.000335531	0.015486960	-50.000766763
0.260000000	481511.688927711	3876.709955815	76574.571099610	76574.571099610	15593.968195122	-8.033660017	0.050361480	-44.367775000	-2.315994800	0.000348997	0.015486960	-50.000797475
0.270000000	482442.959636405	3876.589986519	76569.511770164	76569.511770164	15592.061063841	-8.033570008	0.050400100	-44.367775000	-2.315994800	0.000362478	0.015486959	-50.000828187
0.280000000	483446.211803024	3876.470032457	76564.452521397	76564.452521397	15590.153692383	-8.033479981	0.050440835	-44.367775000	-2.315994800	0.000375926	0.015486958	-50.000858899
0.290000000	484230.664865140	3876.350043441	76559.393267643	76559.393267643	15588.246651711	-8.033389997	0.050483692	-44.367775000	-2.315994800	0.000389303	0.015486958	-50.000889611
0.300000000	484713.120574493	3876.230024877	76554.333990716	76554.333990716	15586.339959067	-8.033300035	0.050528675	-44.367775000	-2.315994800	0.000402665	0.015486957	-50.000920323
0.310000000	484934.280314866	3876.110008781	76549.274709299	76549.274709299	15584.433333977	-8.033210038	0.050575789	-44.367775000	-2.315994800	0.000416103	0.015486956	-50.000951035
0.320000000	485031.441000643	3875.990001171	76544.215442418	76544.215442418	15582.526491356	-8.033120008	0.050625035	-44.367775000	-2.315994800	0.000429566	0.015486955	-50.000981747
0.330000000	485164.394247935	3875.869995051	76539.156199716	76539.156199716	15580.619221870	-8.033029972	0.050676414	-44.367775000	-2.315994800	0.000442955	0.015486954	-50.001012459
0.340000000	485303.647080853	3875.749983329	76534.096919245	76534.096919245	15578.711901375	-8.032939958	0.050729928	-44.367775000	-2.315994800	0.000456312	0.015486953	-50.001043171
0.350000000	485350.043643198	3875.629962767	76529.037547403	76529.037547403	15576.805049668	-8.032849986	0.050785577	-44.367775000	-2.315994800	0.000469730	0.015486952	-50.001073883
0.360000000	485328.524750536	3875.509957183	76523.978320778	76523.978320778	15574.898304650	-8.032760019	0.050843362	-44.367775000	-2.315994800	0.000483202	0.015486951	-50.001104595
0.370000000	485308.060210423	3875.389992817	76518.919507623	76518.919507623	15572.991075280	-8.032670005	0.050903285	-44.367775000	-2.315994800	0.000496680	0.015486950	-50.001135307
0.380000000	485297.373112259	3875.270036616	76513.860776614	76513.860776614	15571.083736550	-8.032579980	0.050965344	-44.367775000	-2.315994800	0.000510121	0.015486949	-50.001166019
0.390000000	485282.482133280	3875.150041959	76508.801659221	76508.801659221	15569.176884671	-8.032490002	0.051029540	-44.367775000	-2.315994800	0.000523496	0.015486948	-50.001196732
0.400000000	485257.424660096	3875.030022122	76503.742292615	76503.742292615	15567.270139271	-8.032400038	0.051095873	-44.367775000	-2.315994800	0.000536860	0.015486947	-50.001227444
